ticker,count
MMM,16
ABT,0
ABBV,0
ABMD,0
ACN,0
ATVI,0
ADBE,0
AMD,31
AAP,71
AES,2
AFL,0
A,27743
APD,0
AKAM,0
ALK,13
ALB,3
ARE,570
ALXN,0
ALGN,0
ALLE,15
LNT,1
ALL,594
GOOGL,1
GOOG,3
MO,1233
AMZN,17
AMCR,0
AEE,0
AAL,8
AEP,0
AXP,0
AIG,8
AMT,4
AWK,2
AMP,12
ABC,8
AME,165
AMGN,0
APH,13
ADI,37
ANSS,0
ANTM,0
AON,0
AOS,1
APA,7
AAPL,67
AMAT,0
APTV,0
ADM,1
ANET,7
AJG,0
AIZ,0
T,40931
ATO,3
ADSK,0
ADP,0
AZO,4
AVB,0
AVY,2
BKR,32
BLL,4
BAC,82
BK,42
BAX,0
BDX,0
BRK.B,0
BBY,16
BIO,4
BIIB,0
BLK,0
BA,450
BKNG,0
BWA,2
BXP,0
BSX,0
BMY,0
AVGO,1
BR,218
BF.B,0
CHRW,0
COG,0
CDNS,0
CPB,1
COF,4
CAH,1
KMX,0
CCL,0
CARR,1
CTLT,0
CAT,53
CBOE,12
CBRE,0
CDW,1
CE,479
CNC,0
CNP,0
CERN,0
CF,91
SCHW,0
CHTR,0
CVX,1
CMG,0
CB,31
CHD,0
CI,155
CINF,0
CTAS,0
CSCO,0
C,16480
CFG,0
CTXS,0
CLX,0
CME,6
CMS,0
KO,30
CTSH,0
CL,244
CMCSA,0
CMA,0
CAG,2
COP,4
ED,1395
STZ,0
COO,27
CPRT,0
GLW,0
CTVA,0
COST,6
CCI,29
CSX,1
CMI,0
CVS,4
DHI,0
DHR,1
DRI,20
DVA,2
DE,552
DAL,1
XRAY,0
DVN,0
DXCM,0
FANG,0
DLR,1
DFS,0
DISCA,0
DISCK,0
DISH,0
DG,105
DLTR,0
D,17725
DPZ,0
DOV,0
DOW,91
DTE,21
DUK,0
DRE,12
DD,872
DXC,2
EMN,0
ETN,0
EBAY,0
ECL,49
EIX,0
EW,78
EA,759
EMR,0
ENPH,0
ETR,5
EOG,0
EFX,0
EQIX,0
EQR,0
ESS,94
EL,706
ETSY,5
EVRG,0
ES,1404
RE,2245
EXC,12
EXPE,11
EXPD,0
EXR,0
XOM,6
FFIV,0
FB,24
FAST,10
FRT,0
FDX,0
FIS,5
FITB,0
FE,190
FRC,0
FISV,0
FLT,0
FLIR,0
FLS,0
FMC,2
F,12527
FTNT,0
FTV,0
FBHS,0
FOXA,0
FOX,13
BEN,3
FCX,0
GPS,0
GRMN,0
IT,1497
GD,27
GE,593
GIS,0
GM,8447
GPC,0
GILD,1
GL,57
GPN,0
GS,94
GWW,0
HAL,62
HBI,0
HIG,46
HAS,69
HCA,0
PEAK,7
HSIC,0
HSY,2
HES,133
HPE,0
HLT,0
HFC,0
HOLX,0
HD,19
HON,7
HRL,0
HST,0
HWM,0
HPQ,0
HUM,13
HBAN,0
HII,2
IEX,0
IDXX,0
INFO,10
ITW,0
ILMN,0
INCY,0
IR,283
INTC,2
ICE,109
IBM,0
IP,702
IPG,0
IFF,18
INTU,0
ISRG,0
IVZ,0
IPGP,0
IQV,0
IRM,6
JKHY,0
J,3597
JBHT,0
SJM,1
JNJ,3
JCI,0
JPM,7
JNPR,0
KSU,0
K,5902
KEY,11
KEYS,1
KMB,0
KIM,4
KMI,0
KLAC,1
KHC,0
KR,57
LB,13
LHX,0
LH,30
LRCX,1
LW,28
LVS,3
LEG,53
LDOS,0
LEN,29
LLY,126
LNC,0
LIN,282
LYV,6
LKQ,0
LMT,1
L,16517
LOW,61
LUMN,0
LYB,0
MTB,0
MRO,2
MPC,0
MKTX,0
MAR,130
MMC,1
MLM,2
MAS,30
MA,768
MKC,0
MXIM,0
MCD,4
MCK,0
MDT,0
MRK,2
MET,22
MTD,2
MGM,3
MCHP,0
MU,87
MSFT,8
MAA,8
MHK,0
TAP,1
MDLZ,0
MPWR,0
MNST,0
MCO,0
MS,107
MOS,29
MSI,0
MSCI,0
NDAQ,0
NTAP,0
NFLX,5
NWL,0
NEM,3
NWSA,0
NWS,0
NEE,70
NLSN,0
NKE,19
NI,340
NSC,2
NTRS,0
NOC,0
NLOK,0
NCLH,6
NOV,1
NRG,0
NUE,6
NVDA,14
NVR,0
ORLY,0
OXY,0
ODFL,0
OMC,1
OKE,32
ORCL,0
OTIS,3
PCAR,0
PKG,0
PH,43
PAYX,0
PAYC,2
PYPL,4
PNR,0
PBCT,0
PEP,3
PKI,0
PRGO,0
PFE,0
PM,132
PSX,0
PNW,0
PXD,0
PNC,0
POOL,1
PPG,0
PPL,14
PFG,0
PG,17
PGR,5
PLD,0
PRU,0
PEG,1
PSA,17
PHM,0
PVH,0
QRVO,0
PWR,1
QCOM,2
DGX,0
RL,65
RJF,0
RTX,4
O,23118
REG,10
REGN,1
RF,53
RSG,0
RMD,1
RHI,0
ROK,33
ROL,11
ROP,44
ROST,0
RCL,2
SPGI,0
CRM,4
SBAC,0
SLB,1
STX,0
SEE,56
SRE,1
NOW,213
SHW,2
SPG,0
SWKS,1
SLG,0
SNA,6
SO,504
LUV,1
SWK,1
SBUX,2
STT,0
STE,147
SYK,2
SIVB,0
SYF,0
SNPS,0
SYY,0
TMUS,0
TROW,0
TTWO,0
TPR,1
TGT,3
TEL,32
TDY,0
TFX,0
TER,239
TSLA,134
TXN,1
TXT,0
TMO,2
TJX,0
TSCO,0
TT,244
TDG,0
TRV,0
TRMB,0
TFC,0
TWTR,6
TYL,2
TSN,3
UDR,0
ULTA,0
USB,0
UAA,0
UA,52
UNP,6
UAL,24
UNH,1
UPS,5
URI,10
UHS,0
UNM,0
VLO,0
VAR,4
VTR,0
VRSN,0
VRSK,0
VZ,2
VRTX,0
VFC,0
VIAC,0
VTRS,0
V,4546
VNT,0
VNO,0
VMC,0
WRB,0
WAB,0
WMT,1
WBA,0
DIS,36
WM,13
WAT,25
WEC,0
WFC,0
WELL,27
WST,2
WDC,0
WU,7
WRK,3
WY,14
WHR,0
WMB,0
WLTW,0
WYNN,1
XEL,0
XRX,0
XLNX,2
XYL,0
YUM,3
ZBRA,0
ZBH,0
ZION,0
ZTS,0
